127.0.0.1 - - [29/Dec/2022:13:27:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Dec/2022:13:27:52 +0900] "GET /myhome1/ HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [29/Dec/2022:13:27:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2022:13:31:12 +0900] "GET /myhome1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:14:02 +0900] "GET /index.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:14:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:15:35 +0900] "GET /myhome1/index.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:21:34 +0900] "GET /myhome1/%EC%97%B0%EC%8A%B51.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:24:18 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:30:26 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:30:26 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:24 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:24 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:25 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:25 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:25 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:25 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:25 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:25 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:26 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:26 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:26 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:26 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:31:32 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:33:22 +0900] "GET /myhome1/iamges/test1.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:33:29 +0900] "GET /myhome1/images/test1.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:33:48 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:33:48 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:10 +0900] "GET /myhome1/images/first.jpg HTTP/1.1" 200 35549
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:22 +0900] "GET /myhome1/images/first.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:24 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:24 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:25 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:25 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:25 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:25 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:25 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:25 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:26 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:26 +0900] "GET /images/first.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:34:26 +0900] "GET /myhome1/test/test1.jsp HTTP/1.1" 200 189
